fold_id,feature_map_name,feature_map_reps,ansatz_reps,entanglement,element test,actual test,predicted test,element train,actual train,predicted train,R2 train
18,Pauli,1,1,linear,['Ho'],[7.82],[8.37995563],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[24.078302   26.88580124 12.16986481 20.4539898  21.37556407  5.53613682 23.14751578 26.8683827  32.75368314 12.30092724  9.0576943   3.47977533  4.91470257  6.73379125 11.10862178 13.38654505 17.09961925 27.96280024 25.63846987 19.02927864],0.6387961157660523
18,Pauli,1,1,full,['Ho'],[7.82],[13.87196862],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[21.35782772 19.95347941 18.72931056 28.8464689  24.67105298 11.91719116 20.77308892 31.1605667  34.01104177 13.0405927  10.99842615 11.43168403 12.49458425 13.45458826 15.10114642 15.53688687 16.06609306 28.04804213 15.8338282  21.69955087],0.6211424153879342
18,Pauli,1,1,circular,['Ho'],[7.82],[13.86691118],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[21.34184482 19.97329683 18.81500164 28.88942148 24.65940432 11.90847266 20.74317485 31.16972103 33.97653042 13.06165214 11.00534553 11.42710403 12.49286351 13.45039115 15.09257579 15.52549237 16.05310913 28.02230726 15.81774251 21.68686732],0.6211491033833942
18,Pauli,1,2,linear,['Ho'],[7.82],[6.40650901],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[20.14781698 18.45236173 15.49335019 24.86183004 20.8598824   8.17579803 20.18010941 33.62337361 33.61523246  7.47410231  5.91291024  6.69796215  5.66839284  5.87926551  8.17387844 10.0879722  12.79905339 26.91799516 22.47628289 21.5406232 ],0.7853984860862022
18,Pauli,1,2,full,['Ho'],[7.82],[11.70482428],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[25.72283658 18.82804528 20.82444824 28.20588501 20.87555141 11.70891499 16.17801608 32.20131024 29.38448976  6.40959876  6.28097099  8.31828445 10.23677122 11.88055162 11.26423223  9.77325558  7.60752067 35.02235343 22.39929827 23.85816169],0.7979083438814663
18,Pauli,1,2,circular,['Ho'],[7.82],[11.70679613],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[25.71333692 18.82940863 20.79783344 28.20425964 20.87986547 11.70629759 16.18540413 32.21096558 29.4051213   6.40327589  6.28174581  8.32164509 10.24268373 11.88327075 11.26689088  9.77787762  7.61472771 35.0303278  22.38601441 23.8550535 ],0.7979094432138183
18,Pauli,1,3,linear,['Ho'],[7.82],[6.98067668],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[20.82645214 20.49953512 19.09960516 28.56326993 23.97112354  5.71535995 20.75318905 29.63400858 34.65906253  7.69919238  7.12237092  5.52036083  5.63527343  5.67721185  9.34023811 12.08348037 15.1903525  28.05423645 22.22915909 24.54605134],0.7982170220688776
18,Pauli,1,3,full,['Ho'],[7.82],[11.76967066],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[25.61593398 17.97723349 23.9739385  31.11259817 24.3362101  11.98935672 16.20542382 33.98883347 30.75435674  4.91233887  4.46605957  8.36507827  9.70471794 11.61222566 11.71527939 10.89520083  9.80770738 34.31583687 23.01565271 22.99017768],0.8412225313541821
18,Pauli,1,3,circular,['Ho'],[7.82],[11.85603155],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[25.32611394 18.01498297 22.42084772 31.15129974 21.98120092 13.40468458 15.91725594 32.24300868 30.36596619  5.28399877  3.63522013  8.70536647  8.57963952 11.64589366 12.50092254 11.63559199 10.54557692 31.91883633 23.39686229 26.03742859],0.8289566562249648
18,Pauli,1,4,linear,['Ho'],[7.82],[7.9055164],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[23.44780691 18.50734336 20.50621819 29.62804149 24.40611301  7.42716261 21.6213387  31.80184945 36.57412791 10.65299718  6.64738564  4.98136066  5.35816492  6.95621827  9.73150499 10.92239037 13.0646527  31.12933158 31.17946499 23.80059637],0.8976233002817595
18,Pauli,1,4,full,['Ho'],[7.82],[13.39125081],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[24.50929988 17.39435456 19.44513125 26.47409944 22.40117376 13.68793425 16.45458753 32.18173883 31.4963784   7.94427773  5.77259669  9.00701513 10.72008173 13.27923288 13.74559982 12.73302895 10.90018643 33.99295663 27.26816467 19.91649913],0.8136201922892943
18,Pauli,1,4,circular,['Ho'],[7.82],[12.19971306],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[25.75904645 16.44537419 24.29902322 32.13339186 24.53810071 12.82067848 15.71410345 33.85679612 31.17626037  4.82460828  3.12822854  8.34874818  9.16197411 11.87920987 12.58102894 11.76132381 10.74642443 33.25590639 24.08520787 23.5166823 ],0.8517723159059463
18,Pauli,1,5,linear,['Ho'],[7.82],[7.71136093],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[23.80831638 18.18617763 20.58298828 29.92895302 24.14137043  7.3214069  21.64529964 31.82753352 36.76162154 10.6373959   6.67817015  4.87924679  5.12701462  6.75003194  9.66146571 10.95744387 13.30454391 30.72542902 31.05942903 23.85334314],0.8982083745652012
18,Pauli,1,5,full,['Ho'],[7.82],[12.14557553],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[26.08790143 16.18208022 24.03677097 32.17520908 24.68446193 13.01977886 15.86236846 33.65763227 31.62534641  5.28954885  3.41360779  8.28235714  8.86893872 11.76590223 12.61282932 11.79765448 10.79891029 33.59834943 24.01639938 22.90489291],0.8527926860925192
18,Pauli,1,5,circular,['Ho'],[7.82],[12.143674],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[26.0395482  16.19014187 24.08072965 32.15326035 24.67927215 13.00380573 15.85869489 33.66707501 31.58084597  5.22389039  3.36058502  8.2805961   8.87685253 11.76658097 12.61046603 11.79733373 10.80421394 33.55709191 24.01800387 22.99565442],0.8527798603298173
18,Pauli,2,1,linear,['Ho'],[7.82],[15.05335031],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[16.24537125 21.4221659  24.48356421 28.58870836 19.23526904 12.7891822  23.16597583 22.88008727 19.96222357 13.55799429 11.06269307 11.78179164 13.29846483 14.59513784 14.34771102 13.59363592 13.63059152 14.8216845  21.7093184  17.96355277],0.41443439239042024
18,Pauli,2,1,full,['Ho'],[7.82],[17.15207748],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[23.77428936 18.00723782 22.0717056  27.19571559 21.52144454 16.55117828 23.40768459 33.80414144 30.87909956  7.72359297  8.40655435 14.67987659 14.57861836 16.79116027 17.40355896 14.70928793 13.10523854 26.56011287 22.57133808 20.32344147],0.6752563516410747
18,Pauli,2,1,circular,['Ho'],[7.82],[17.15212658],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[23.77451897 18.00846074 22.07149817 27.19582802 21.52150591 16.55188633 23.40703731 33.80383367 30.87975998  7.72379175  8.40675579 14.68066578 14.5798264  16.79181321 17.40299816 14.70837407 13.10426655 26.56053715 22.5720247  20.32318975],0.6752563448457354
18,Pauli,2,2,linear,['Ho'],[7.82],[11.33358609],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[17.98397238 18.44305234 21.41392094 26.96767744 27.08277289 10.78753998 21.88905276 29.90930535 26.34777757 16.9578983  15.67364952 11.56869415 11.44348002 11.66723507 11.52316846 10.62576473 11.6515988  14.23051956 21.93304497 21.35442781],0.4867119234317129
18,Pauli,2,2,full,['Ho'],[7.82],[9.23628553],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[18.77393554 14.95651033 18.81674116 23.68274138 16.53475364 13.44030688 22.12073013 28.50211361 31.38062976  9.31907007  8.10096226 12.5438095  11.58229668  9.9266752   9.03970473 10.39683055  9.52196086 21.95591811 23.20797043 18.73748426],0.6826160297029579
18,Pauli,2,2,circular,['Ho'],[7.82],[12.09434519],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[24.97136202 20.14818259 22.2053742  29.91378539 21.60334487 11.14899129 26.1424645  26.10780373 34.19913925  4.41080352  6.47603606 10.88373909 12.98904283 13.21592022 11.31165007  9.41751108  9.07192903 24.61029291 21.81813552 26.03863558],0.7553513120806208
18,Pauli,2,3,linear,['Ho'],[7.82],[8.86295053],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[19.75377751 20.03981465 25.22720841 26.24876601 20.61899719 11.22279563 20.9849001  26.91439144 29.85061644 16.41392493 16.51771418 11.93885119  8.79134203  8.52555595  9.72342882  9.49086677  8.64381273 23.15804778 19.47662261 20.4716519 ],0.5805474319628399
18,Pauli,2,3,full,['Ho'],[7.82],[11.02527763],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[21.58291327 18.66180486 22.1013845  29.81101953 19.08311861 10.35820607 24.15144223 25.18525595 30.90240607  4.67827856  6.90682701 10.88945713 13.33536271 12.31383846  9.87633194  9.30965405  8.97255913 26.0137272  24.68648803 17.92022599],0.7744983895533246
18,Pauli,2,3,circular,['Ho'],[7.82],[7.94711605],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[19.15618388 14.45532733 20.8829642  25.36242196 17.63897795 10.21977246 23.17647377 26.58853241 32.97920789  6.57904653  7.01850775 10.81345697 12.64943036 10.54485192  7.74126119  8.65245446 11.7620234  23.41380562 25.37399206 16.55822095],0.7477055526791772
18,Pauli,2,4,linear,['Ho'],[7.82],[6.91004275],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[19.13473785 19.85304077 24.40337617 28.36933381 21.52363471 10.83045793 23.93733891 27.87428736 32.42404136 16.09766166 14.35211704 11.04549908  8.93156994  8.09999864  7.3582945   7.62657597 11.44653718 22.41190122 19.97782896 21.32049254],0.6371757426308116
18,Pauli,2,4,full,['Ho'],[7.82],[8.79437457],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[20.81477731 19.24410806 21.55413796 28.6703934  21.97565046 10.28893341 25.31427996 31.93193159 34.51790624  6.4591175   6.56357247 10.66125058 13.54176141 11.46048276  8.02584899  8.08849292 10.52514449 25.49968691 25.4252441  20.995024  ],0.819670669660865
18,Pauli,2,4,circular,['Ho'],[7.82],[8.72025329],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[21.21155845 18.51937708 21.16137447 29.39859939 22.32980367 10.23127619 25.34341993 31.88393132 34.09792194  6.88655856  6.60271122 10.5547526  13.03466649 11.04873357  8.49339716  8.77243764 10.80185532 25.47528765 25.41661248 20.73954619],0.8242969318598488
18,Pauli,2,5,linear,['Ho'],[7.82],[6.92367228],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[19.02045563 19.77341125 24.31337787 28.33346522 21.02308525 11.11079769 23.90372004 27.76113735 32.6642605  16.31739499 14.41683125 11.20679106  8.99117071  8.15528519  7.18628454  7.40080314 11.02544218 22.47224828 20.32851807 21.30807822],0.6383250179856904
18,Pauli,2,5,full,['Ho'],[7.82],[8.762048],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  8.45  8.96  9.75 35.35 38.54 22.09],[21.96064098 18.35049431 20.91126184 29.60224717 22.55745223 10.44592141 25.0587931  32.05525917 33.45680857  7.2560649   6.69230687 10.63140972 12.76810093 10.85696621  8.87293588  9.30451435 11.0424982  25.70282598 25.43555164 21.0455547 ],0.8249652082183849
